tid,toi,tfopwg_disp,st_tmag,pl_orbper,pl_trandep,pl_tranmid,pl_trandurh
24364065,1195.01,FP,10.4717,4.05135,1132.23,2458686.84696,2.4
69068526,1196.01,PC,10.4318,5.5376617,5390.0,2459785.498161,2.517
92677094,1197.01,PC,10.4247,4.5960377,5000.0,2459787.132209,4.744
203189770,1198.01,KP,10.4219,3.612771,11794.0,2460551.040398,4.142
99869022,1199.01,CP,10.4221,3.6714717,4340.0,2460360.434669,2.149
394137592,120.01,CP,7.1062,11.535076,2389.90616,2458332.082805,8.555958
288185138,1200.01,FP,10.402,0.8352406,2065.0,2460365.995576,1.043
29960110,1201.01,CP,10.9473,2.4919771,2093.9594201,2458411.670877,1.4338141
327017634,1202.01,FP,8.386,,878.134108,2458614.434411,2.726775
23434737,1203.01,CP,7.9995,25.5195307,558.3758637,2458553.062116,6.6877451
467666275,1204.01,PC,8.004,1.3812115,117.7553083,2458569.940999,2.7372191
110428269,1138.01,FP,8.90601,0.64971,620.0,2458684.20504,2.076
202563254,1139.01,PC,8.86193,4.4780798,1054.0,2460549.445856,4.513
25155310,114.01,KP,10.6103,3.2887898,7005.7247902,2458327.519958,3.4367717
320525204,1140.01,FP,8.88797,13.7431084,5688.0,2460637.861679,2.285
159510109,1141.01,FP,8.8523,16.9487087,156467.5479643,2460289.874408,4.2887767
284450803,1142.01,FP,8.64028,3.3686634,3288.0,2460335.937572,3.012
160268701,1143.01,FP,8.63287,11.2071839,3276.0,2460352.734057,4.366
28230919,1144.01,KP,8.5077,4.8878037,4279.0,2460554.347022,2.184
350995812,1145.01,FP,8.5011,2.97164,7350.0,2458685.81643,1.534
21755546,1146.01,FP,8.40386,0.660179,473.0939303,2459420.415267,1.6349369
288391628,1147.01,FP,8.36544,10.9278415,2743.0,2460331.315598,2.468
349827430,1148.01,KP,7.9179,5.5514888,9493.0,2460361.366521,4.335
117789567,1149.01,APC,7.9172,2.3202418,5082.9417064,2459770.330784,2.3817612
281541555,115.01,KP,13.0417,4.7423709,12650.8110411,2458329.903155,2.4988145
16740101,1150.01,KP,7.58204,1.4810903,6788.5145388,2458683.457596,4.1588291
69679391,1151.01,KP,7.55216,3.4741012,15748.0,2460337.986375,3.317
237184773,1152.01,FA,8.0348,6.5011911,4501.3454064,2459392.715052,5.5463587
154840461,1153.01,APC,8.40534,6.0360758,987.0,2460472.256051,1.255
459970307,1154.01,PC,9.3188,21.745537,659.0,2460339.328709,4.196
161450762,1155.01,FP,9.711,1.32003,552.468,2458683.92594,3.175
117256577,1156.01,FP,9.7032,1.6865822,1770.0,2459443.850453,2.429
147576037,1157.01,FP,9.6043,13.0727479,4080.0,2459603.765773,3.044
379931600,1158.01,FP,9.5967,2.9258727,6720.0,2459446.175877,4.075
48188920,1159.01,FP,9.5937,0.73774,524.852,2458683.94707,0.636
238176110,116.01,KP,11.0443,2.7985802,16708.7151957,2458326.688916,2.3801043
89510024,1160.01,FP,9.577,2.3664127,300.0,2459446.146751,2.591
158324245,1161.01,KP,10.2306,1.7635881,6650.0,2460556.484069,3.092
13419950,1162.01,PC,9.65306,7.3166682,3210.0,2460544.815606,3.255
375542276,1163.01,PC,9.47751,3.0771612,4703.2844346,2459441.801256,2.6914319
16102323,1164.01,FP,9.329701,3.2077145,9640.0,2459822.312844,2.708
